Date,Year,Month,Temperature
2004-01-01,2004,1,0.58
2004-02-01,2004,2,0.73
2004-03-01,2004,3,0.63
2004-04-01,2004,4,0.61
2004-05-01,2004,5,0.37
2004-06-01,2004,6,0.44
2004-07-01,2004,7,0.26
2004-08-01,2004,8,0.46
2004-09-01,2004,9,0.5
2004-10-01,2004,10,0.61
2004-11-01,2004,11,0.73
2004-12-01,2004,12,0.51
2005-01-01,2005,1,0.74
2005-02-01,2005,2,0.6
2005-03-01,2005,3,0.74
2005-04-01,2005,4,0.67
2005-05-01,2005,5,0.63
2005-06-01,2005,6,0.64
2005-07-01,2005,7,0.62
2005-08-01,2005,8,0.6
2005-09-01,2005,9,0.71
2005-10-01,2005,10,0.75
2005-11-01,2005,11,0.74
2005-12-01,2005,12,0.68
2006-01-01,2006,1,0.56
2006-02-01,2006,2,0.73
2006-03-01,2006,3,0.63
2006-04-01,2006,4,0.47
2006-05-01,2006,5,0.48
2006-06-01,2006,6,0.66
2006-07-01,2006,7,0.54
2006-08-01,2006,8,0.71
2006-09-01,2006,9,0.65
2006-10-01,2006,10,0.7
2006-11-01,2006,11,0.74
2006-12-01,2006,12,0.79
2007-01-01,2007,1,1.02
2007-02-01,2007,2,0.7
2007-03-01,2007,3,0.73
2007-04-01,2007,4,0.77
2007-05-01,2007,5,0.69
2007-06-01,2007,6,0.61
2007-07-01,2007,7,0.6
2007-08-01,2007,8,0.6
2007-09-01,2007,9,0.6
2007-10-01,2007,10,0.59
2007-11-01,2007,11,0.59
2007-12-01,2007,12,0.5
2008-01-01,2008,1,0.31
2008-02-01,2008,2,0.38
2008-03-01,2008,3,0.75
2008-04-01,2008,4,0.54
2008-05-01,2008,5,0.49
2008-06-01,2008,6,0.49
2008-07-01,2008,7,0.6
2008-08-01,2008,8,0.46
2008-09-01,2008,9,0.61
2008-10-01,2008,10,0.67
2008-11-01,2008,11,0.69
2008-12-01,2008,12,0.54
2009-01-01,2009,1,0.65
2009-02-01,2009,2,0.53
2009-03-01,2009,3,0.54
2009-04-01,2009,4,0.61
2009-05-01,2009,5,0.65
2009-06-01,2009,6,0.65
2009-07-01,2009,7,0.74
2009-08-01,2009,8,0.69
2009-09-01,2009,9,0.72
2009-10-01,2009,10,0.65
2009-11-01,2009,11,0.8
2009-12-01,2009,12,0.68
2010-01-01,2010,1,0.75
2010-02-01,2010,2,0.84
2010-03-01,2010,3,0.93
2010-04-01,2010,4,0.85
2010-05-01,2010,5,0.76
2010-06-01,2010,6,0.68
2010-07-01,2010,7,0.63
2010-08-01,2010,8,0.67
