Date,Year,Month,Temperature
2004-01-01,2004,1,0.67
2004-02-01,2004,2,0.92
2004-03-01,2004,3,0.87
2004-04-01,2004,4,0.7
2004-05-01,2004,5,0.52
2004-06-01,2004,6,0.47
2004-07-01,2004,7,0.5
2004-08-01,2004,8,0.55
2004-09-01,2004,9,0.6
2004-10-01,2004,10,0.7
2004-11-01,2004,11,0.98
2004-12-01,2004,12,0.45
2005-01-01,2005,1,0.94
2005-02-01,2005,2,0.72
2005-03-01,2005,3,0.94
2005-04-01,2005,4,0.93
2005-05-01,2005,5,0.77
2005-06-01,2005,6,0.79
2005-07-01,2005,7,0.75
2005-08-01,2005,8,0.69
2005-09-01,2005,9,0.9
2005-10-01,2005,10,0.95
2005-11-01,2005,11,1.06
2005-12-01,2005,12,0.84
2006-01-01,2006,1,0.65
2006-02-01,2006,2,0.95
2006-03-01,2006,3,0.78
2006-04-01,2006,4,0.59
2006-05-01,2006,5,0.76
2006-06-01,2006,6,0.81
2006-07-01,2006,7,0.69
2006-08-01,2006,8,0.69
2006-09-01,2006,9,0.82
2006-10-01,2006,10,0.96
2006-11-01,2006,11,0.95
2006-12-01,2006,12,1.16
2007-01-01,2007,1,1.45
2007-02-01,2007,2,0.9
2007-03-01,2007,3,0.96
2007-04-01,2007,4,1.07
2007-05-01,2007,5,0.72
2007-06-01,2007,6,0.65
2007-07-01,2007,7,0.66
2007-08-01,2007,8,0.73
2007-09-01,2007,9,0.67
2007-10-01,2007,10,0.84
2007-11-01,2007,11,0.82
2007-12-01,2007,12,0.77
2008-01-01,2008,1,0.34
2008-02-01,2008,2,0.59
2008-03-01,2008,3,1.14
2008-04-01,2008,4,0.65
2008-05-01,2008,5,0.6
2008-06-01,2008,6,0.61
2008-07-01,2008,7,0.6
2008-08-01,2008,8,0.6
2008-09-01,2008,9,0.58
2008-10-01,2008,10,0.86
2008-11-01,2008,11,0.96
2008-12-01,2008,12,0.66
2009-01-01,2009,1,0.82
2009-02-01,2009,2,0.7
2009-03-01,2009,3,0.59
2009-04-01,2009,4,0.7
2009-05-01,2009,5,0.66
2009-06-01,2009,6,0.68
2009-07-01,2009,7,0.68
2009-08-01,2009,8,0.72
2009-09-01,2009,9,0.85
2009-10-01,2009,10,0.79
2009-11-01,2009,11,0.84
2009-12-01,2009,12,0.67
2010-01-01,2010,1,0.81
2010-02-01,2010,2,0.94
2010-03-01,2010,3,1.1
2010-04-01,2010,4,1.13
2010-05-01,2010,5,0.94
2010-06-01,2010,6,0.85
2010-07-01,2010,7,0.89
2010-08-01,2010,8,0.86
2010-09-01,2010,9,0.7
2010-10-01,2010,10,0.9
2010-11-01,2010,11,1.2
2010-12-01,2010,12,0.5
2011-01-01,2011,1,0.61
2011-02-01,2011,2,0.56
2011-03-01,2011,3,0.89
2011-04-01,2011,4,0.84
2011-05-01,2011,5,0.66
2011-06-01,2011,6,0.76
2011-07-01,2011,7,0.73
2011-08-01,2011,8,0.71
2011-09-01,2011,9,0.74
2011-10-01,2011,10,0.91
2011-11-01,2011,11,0.66
2011-12-01,2011,12,0.89
2012-01-01,2012,1,0.68
2012-02-01,2012,2,0.59
2012-03-01,2012,3,0.71
2012-04-01,2012,4,1.07
2012-05-01,2012,5,0.97
2012-06-01,2012,6,0.94
2012-07-01,2012,7,0.85
2012-08-01,2012,8,0.76
2012-09-01,2012,9,0.86
2012-10-01,2012,10,0.91
2012-11-01,2012,11,0.98
2012-12-01,2012,12,0.46
2013-01-01,2013,1,0.85
2013-02-01,2013,2,0.79
2013-03-01,2013,3,0.81
2013-04-01,2013,4,0.68
2013-05-01,2013,5,0.78
2013-06-01,2013,6,0.77
2013-07-01,2013,7,0.7
2013-08-01,2013,8,0.74
2013-09-01,2013,9,0.7
2013-10-01,2013,10,0.83
2013-11-01,2013,11,1.13
2013-12-01,2013,12,0.83
2014-01-01,2014,1,0.97
2014-02-01,2014,2,0.72
2014-03-01,2014,3,1.2
2014-04-01,2014,4,1.08
2014-05-01,2014,5,0.9
2014-06-01,2014,6,0.81
2014-07-01,2014,7,0.77
2014-08-01,2014,8,0.91
2014-09-01,2014,9,0.83
2014-10-01,2014,10,0.93
2014-11-01,2014,11,0.8
2014-12-01,2014,12,1.09
2015-01-01,2015,1,1.18
2015-02-01,2015,2,1.19
2015-03-01,2015,3,1.33
2015-04-01,2015,4,1.02
2015-05-01,2015,5,1.04
2015-06-01,2015,6,1.05
2015-07-01,2015,7,0.91
2015-08-01,2015,8,1.02
2015-09-01,2015,9,1.17
2015-10-01,2015,10,1.29
2015-11-01,2015,11,1.38
2015-12-01,2015,12,1.53
2016-01-01,2016,1,1.54
2016-02-01,2016,2,1.94
2016-03-01,2016,3,1.91
2016-04-01,2016,4,1.48
2016-05-01,2016,5,1.11
2016-06-01,2016,6,1.12
2016-07-01,2016,7,1.04
2016-08-01,2016,8,1.12
2016-09-01,2016,9,1.22
2016-10-01,2016,10,1.04
2016-11-01,2016,11,1.12
2016-12-01,2016,12,1.04
2017-01-01,2017,1,1.38
2017-02-01,2017,2,1.51
2017-03-01,2017,3,1.52
2017-04-01,2017,4,1.19
2017-05-01,2017,5,0.92
2017-06-01,2017,6,0.93
2017-07-01,2017,7,0.96
2017-08-01,2017,8,1.02
2017-09-01,2017,9,1.0
2017-10-01,2017,10,1.05
2017-11-01,2017,11,1.23
2017-12-01,2017,12,1.38
2018-01-01,2018,1,1.14
2018-02-01,2018,2,1.24
2018-03-01,2018,3,1.17
2018-04-01,2018,4,0.97
2018-05-01,2018,5,1.01
2018-06-01,2018,6,0.86
2018-07-01,2018,7,0.9
2018-08-01,2018,8,0.87
2018-09-01,2018,9,0.97
2018-10-01,2018,10,1.24
2018-11-01,2018,11,0.97
2018-12-01,2018,12,1.09
2019-01-01,2019,1,1.2
2019-02-01,2019,2,1.12
2019-03-01,2019,3,1.55
2019-04-01,2019,4,1.25
2019-05-01,2019,5,0.98
2019-06-01,2019,6,1.19
2019-07-01,2019,7,1.03
2019-08-01,2019,8,1.09
2019-09-01,2019,9,1.21
2019-10-01,2019,10,1.3
2019-11-01,2019,11,1.2
2019-12-01,2019,12,1.39
2020-01-01,2020,1,1.59
2020-02-01,2020,2,1.71
2020-03-01,2020,3,1.66
2020-04-01,2020,4,1.4
2020-05-01,2020,5,1.28
2020-06-01,2020,6,1.13
2020-07-01,2020,7,1.1
2020-08-01,2020,8,1.13
2020-09-01,2020,9,1.2
2020-10-01,2020,10,1.21
2020-11-01,2020,11,1.61
2020-12-01,2020,12,1.23
2021-01-01,2021,1,1.26
2021-02-01,2021,2,0.96
2021-03-01,2021,3,1.2
2021-04-01,2021,4,1.13
2021-05-01,2021,5,1.04
2021-06-01,2021,6,1.21
2021-07-01,2021,7,1.07
2021-08-01,2021,8,1.03
2021-09-01,2021,9,1.06
2021-10-01,2021,10,1.31
2021-11-01,2021,11,1.31
2021-12-01,2021,12,1.14
2022-01-01,2022,1,1.25
2022-02-01,2022,2,1.17
2022-03-01,2022,3,1.43
2022-04-01,2022,4,1.09
2022-05-01,2022,5,1.01
2022-06-01,2022,6,1.13
2022-07-01,2022,7,1.05
2022-08-01,2022,8,1.17
2022-09-01,2022,9,1.16
2022-10-01,2022,10,1.32
2022-11-01,2022,11,1.1
2022-12-01,2022,12,1.07
2023-01-01,2023,1,1.29
2023-02-01,2023,2,1.32
2023-03-01,2023,3,1.6
2023-04-01,2023,4,1.02
2023-05-01,2023,5,1.12
2023-06-01,2023,6,
2023-07-01,2023,7,
2023-08-01,2023,8,
2023-09-01,2023,9,
2023-10-01,2023,10,
2023-11-01,2023,11,
2023-12-01,2023,12,
