Date,Year,Month,Temperature
2004-01-01,2004,1,0.5
2004-02-01,2004,2,0.53
2004-03-01,2004,3,0.4
2004-04-01,2004,4,0.52
2004-05-01,2004,5,0.22
2004-06-01,2004,6,0.41
2004-07-01,2004,7,0.04
2004-08-01,2004,8,0.37
2004-09-01,2004,9,0.4
2004-10-01,2004,10,0.52
2004-11-01,2004,11,0.48
2004-12-01,2004,12,0.57
2005-01-01,2005,1,0.54
2005-02-01,2005,2,0.48
2005-03-01,2005,3,0.54
2005-04-01,2005,4,0.41
2005-05-01,2005,5,0.49
2005-06-01,2005,6,0.51
2005-07-01,2005,7,0.48
2005-08-01,2005,8,0.52
2005-09-01,2005,9,0.52
2005-10-01,2005,10,0.55
2005-11-01,2005,11,0.42
2005-12-01,2005,12,0.52
2006-01-01,2006,1,0.47
2006-02-01,2006,2,0.51
2006-03-01,2006,3,0.48
2006-04-01,2006,4,0.34
2006-05-01,2006,5,0.2
2006-06-01,2006,6,0.5
2006-07-01,2006,7,0.39
2006-08-01,2006,8,0.73
2006-09-01,2006,9,0.48
2006-10-01,2006,10,0.44
2006-11-01,2006,11,0.53
2006-12-01,2006,12,0.43
2007-01-01,2007,1,0.58
2007-02-01,2007,2,0.5
2007-03-01,2007,3,0.49
2007-04-01,2007,4,0.46
2007-05-01,2007,5,0.65
2007-06-01,2007,6,0.57
2007-07-01,2007,7,0.54
2007-08-01,2007,8,0.47
2007-09-01,2007,9,0.52
2007-10-01,2007,10,0.34
2007-11-01,2007,11,0.36
2007-12-01,2007,12,0.22
2008-01-01,2008,1,0.27
2008-02-01,2008,2,0.17
2008-03-01,2008,3,0.35
2008-04-01,2008,4,0.42
2008-05-01,2008,5,0.39
2008-06-01,2008,6,0.36
2008-07-01,2008,7,0.6
2008-08-01,2008,8,0.34
2008-09-01,2008,9,0.65
2008-10-01,2008,10,0.49
2008-11-01,2008,11,0.41
2008-12-01,2008,12,0.43
2009-01-01,2009,1,0.46
2009-02-01,2009,2,0.36
2009-03-01,2009,3,0.48
2009-04-01,2009,4,0.52
2009-05-01,2009,5,0.65
2009-06-01,2009,6,0.62
2009-07-01,2009,7,0.79
2009-08-01,2009,8,0.66
2009-09-01,2009,9,0.6
2009-10-01,2009,10,0.53
2009-11-01,2009,11,0.75
2009-12-01,2009,12,0.69
2010-01-01,2010,1,0.7
2010-02-01,2010,2,0.73
2010-03-01,2010,3,0.75
2010-04-01,2010,4,0.57
2010-05-01,2010,5,0.58
2010-06-01,2010,6,0.52
2010-07-01,2010,7,0.38
2010-08-01,2010,8,0.48
2010-09-01,2010,9,0.56
2010-10-01,2010,10,0.52
2010-11-01,2010,11,0.42
2010-12-01,2010,12,0.39
2011-01-01,2011,1,0.42
2011-02-01,2011,2,0.4
2011-03-01,2011,3,0.42
2011-04-01,2011,4,0.46
2011-05-01,2011,5,0.41
2011-06-01,2011,6,0.49
2011-07-01,2011,7,0.68
2011-08-01,2011,8,0.77
2011-09-01,2011,9,0.4
2011-10-01,2011,10,0.41
2011-11-01,2011,11,0.51
2011-12-01,2011,12,0.33
2012-01-01,2012,1,0.3
2012-02-01,2012,2,0.4
2012-03-01,2012,3,0.44
2012-04-01,2012,4,0.38
2012-05-01,2012,5,0.6
2012-06-01,2012,6,0.36
2012-07-01,2012,7,0.33
2012-08-01,2012,8,0.55
2012-09-01,2012,9,0.59
2012-10-01,2012,10,0.68
2012-11-01,2012,11,0.6
2012-12-01,2012,12,0.62
2013-01-01,2013,1,0.57
2013-02-01,2013,2,0.46
2013-03-01,2013,3,0.53
2013-04-01,2013,4,0.4
2013-05-01,2013,5,0.44
2013-06-01,2013,6,0.62
2013-07-01,2013,7,0.51
2013-08-01,2013,8,0.64
2013-09-01,2013,9,0.83
2013-10-01,2013,10,0.56
2013-11-01,2013,11,0.54
2013-12-01,2013,12,0.56
2014-01-01,2014,1,0.54
2014-02-01,2014,2,0.39
2014-03-01,2014,3,0.36
2014-04-01,2014,4,0.51
2014-05-01,2014,5,0.82
2014-06-01,2014,6,0.54
2014-07-01,2014,7,0.4
2014-08-01,2014,8,0.75
2014-09-01,2014,9,0.91
2014-10-01,2014,10,0.68
2014-11-01,2014,11,0.54
2014-12-01,2014,12,0.47
2015-01-01,2015,1,0.53
2015-02-01,2015,2,0.61
2015-03-01,2015,3,0.59
2015-04-01,2015,4,0.5
2015-05-01,2015,5,0.56
2015-06-01,2015,6,0.58
2015-07-01,2015,7,0.56
2015-08-01,2015,8,0.61
2015-09-01,2015,9,0.55
2015-10-01,2015,10,0.91
2015-11-01,2015,11,0.76
2015-12-01,2015,12,0.8
2016-01-01,2016,1,0.8
2016-02-01,2016,2,0.79
2016-03-01,2016,3,0.81
2016-04-01,2016,4,0.73
