date,mean,smoothed_mean
1993-01-04,-0.230726,-0.445896
1993-01-12,-0.303428,-0.466597
1993-01-19,-0.460243,-0.472719
1993-01-26,-0.599208,-0.454883
1993-02-01,-0.635877,-0.425817
1993-02-08,-0.570103,-0.428338
1993-02-16,-0.509445,-0.428794
1993-02-23,-0.330038,-0.424755
1993-03-02,-0.193289,-0.423003
1993-03-08,-0.253411,-0.420715
1993-03-15,-0.307533,-0.416704
1993-03-22,-0.42389,-0.408239
1993-03-30,-0.583445,-0.411499
1993-04-06,-0.615283,-0.443668
1993-04-13,-0.534001,-0.47749
1993-04-19,-0.433261,-0.515472
1993-04-26,-0.359379,-0.544253
1993-05-03,-0.482812,-0.556466
1993-05-11,-0.557807,-0.559747
1993-05-18,-0.649372,-0.562841
1993-05-24,-0.68292,-0.546611
1993-05-31,-0.693363,-0.531251
1993-06-07,-0.644804,-0.498515
1993-06-15,-0.561852,-0.452548
1993-06-22,-0.287191,-0.393139
1993-06-29,-0.221136,-0.351437
1993-07-05,-0.188187,-0.293704
1993-07-12,-0.14411,-0.219591
1993-07-19,-0.114689,-0.136523
1993-07-27,-0.307602,-0.064642
1993-08-03,-0.173768,0.014816
1993-08-10,0.022215,0.093328
1993-08-16,0.185758,0.158136
1993-08-23,0.359738,0.22751
1993-08-31,0.493991,0.32549
1993-09-07,0.518422,0.422177
1993-09-14,0.439158,0.524716
1993-09-20,0.509675,0.612009
1993-09-27,0.574225,0.680785
1993-10-04,0.696414,0.723814
1993-10-12,0.945068,0.740103
1993-10-19,0.971388,0.762411
1993-10-26,0.978725,0.764732
1993-11-01,0.881248,0.754807
1993-11-08,0.665026,0.74815
1993-11-15,0.63993,0.731467
1993-11-23,0.530564,0.720887
1993-11-30,0.484898,0.706377
1993-12-06,0.636503,0.671661
1993-12-13,0.794919,0.635179
1993-12-20,0.876173,0.602562
1993-12-28,0.848135,0.585275
1994-01-04,0.568798,0.557468
1994-01-11,0.336693,0.49542
1994-01-17,0.346374,0.387955
1994-01-24,0.374986,0.280191
1994-01-31,0.23463,0.19897
1994-02-08,0.078074,0.151417
1994-02-15,-0.172267,0.129488
1994-02-22,-0.093708,0.119635
1994-02-28,0.117154,0.100504
1994-03-07,0.140814,0.09393
1994-03-15,0.139334,0.106433
1994-03-22,0.257699,0.140996
1994-03-29,0.202803,0.162782
1994-04-04,0.175464,0.136272
1994-04-11,0.190604,0.091215
1994-04-18,0.138803,0.039357
1994-04-26,0.10236,-0.034707
1994-05-03,-0.121434,-0.088259
1994-05-10,-0.2647,-0.133853
1994-05-16,-0.327389,-0.158659
1994-05-23,-0.408872,-0.18098
1994-05-30,-0.279165,-0.212153
1994-06-07,-0.234888,-0.214465
1994-06-14,-0.032644,-0.195134
1994-06-21,-0.062088,-0.164696
1994-06-27,-0.178198,-0.1192
1994-07-04,-0.142242,-0.067783
1994-07-12,-0.090717,0.004878
1994-07-19,-0.053452,0.069166
1994-07-26,0.00059,0.148188
1994-08-01,0.183588,0.25167
1994-08-08,0.419064,0.363068
1994-08-15,0.54595,0.480752
1994-08-23,0.649111,0.596378
1994-08-30,0.753135,0.715792
1994-09-06,0.860346,0.822989
1994-09-12,0.968439,0.913866
1994-09-19,0.987181,1.010257
1994-09-26,1.075315,1.103744
1994-10-04,1.148356,1.177682
1994-10-11,1.236962,1.224587
1994-10-17,1.41347,1.253671
1994-10-24,1.490494,1.263125
1994-10-31,1.418578,1.259407
1994-11-08,1.282484,1.242869
1994-11-15,1.230202,1.237221
1994-11-22,1.072265,1.229078
1994-11-28,1.04185,1.197846
1994-12-05,0.999514,1.169396
1994-12-12,1.186136,1.131231
1994-12-20,1.340179,1.089607
1994-12-27,1.209404,1.085973
1995-01-03,1.162532,1.091333
1995-01-09,0.938995,1.071271
1995-01-16,0.855587,1.00437
