Parent_Location,City,Topic,Popularity
worldwide,Suva,climate_change,0.0
worldwide,Tabuk,climate_change,0.0
worldwide,Thimphu,climate_change,0.0
worldwide,Legazpi City,climate_change,0.0
worldwide,Butuan City,climate_change,0.0
worldwide,La Trinidad,climate_change,0.0
worldwide,Lucena,climate_change,0.0
worldwide,Porac,climate_change,0.0
worldwide,Batangas,climate_change,0.0
worldwide,Zamboanga,climate_change,0.0
worldwide,Wageningen,climate_change,0.0
worldwide,Maseru,climate_change,0.0
worldwide,Iloilo City,climate_change,0.0
worldwide,Naga,climate_change,0.0
worldwide,Mansfield,climate_change,0.0
worldwide,Farnborough,climate_change,0.0
worldwide,Malabon,climate_change,0.0
worldwide,Lipa,climate_change,0.0
worldwide,Amherst,climate_change,0.0
worldwide,Cagayan de Oro,climate_change,0.0
worldwide,Corvallis,climate_change,0.0
worldwide,Patan,climate_change,0.0
worldwide,Cabuyao,climate_change,0.0
worldwide,San Jose del Monte City,climate_change,0.0
worldwide,General Trias,climate_change,0.0
worldwide,Boulder,climate_change,0.0
worldwide,East Lansing,climate_change,0.0
worldwide,General Santos City,climate_change,0.0
worldwide,Lilongwe,climate_change,0.0
worldwide,Ithaca,climate_change,0.0
worldwide,Harare,climate_change,0.0
worldwide,Dasmariñas,climate_change,0.0
worldwide,Marikina,climate_change,0.0
worldwide,Carmona,climate_change,0.0
worldwide,Calamba,climate_change,0.0
worldwide,Davao City,climate_change,100.0
worldwide,Antipolo,climate_change,0.0
worldwide,Baguio,climate_change,0.0
worldwide,Lapu-Lapu City,climate_change,0.0
worldwide,College Park,climate_change,0.0
worldwide,Caloocan,climate_change,0.0
worldwide,Angono,climate_change,0.0
worldwide,Soshanguve,climate_change,0.0
worldwide,Tarlac City,climate_change,0.0
worldwide,Princeton,climate_change,0.0
worldwide,Cainta,climate_change,0.0
worldwide,Addis Ababa,climate_change,0.0
worldwide,Durban,climate_change,0.0
worldwide,Davis,climate_change,0.0
worldwide,Bacolod,climate_change,0.0
worldwide,Cebu City,climate_change,93.0
worldwide,Kumasi,climate_change,0.0
worldwide,Imus,climate_change,0.0
worldwide,Mandaue City,climate_change,0.0
worldwide,Canberra,climate_change,0.0
worldwide,Valenzuela,climate_change,0.0
worldwide,Malolos,climate_change,0.0
worldwide,Georgetown,climate_change,0.0
worldwide,Superior,climate_change,0.0
worldwide,Berkeley,climate_change,0.0
worldwide,Berea,climate_change,0.0
worldwide,Burlington,climate_change,0.0
worldwide,Pokhara,climate_change,0.0
worldwide,Flagstaff,climate_change,0.0
worldwide,Manila,climate_change,83.0
worldwide,Kathmandu,climate_change,0.0
worldwide,Angeles,climate_change,0.0
worldwide,Gaborone,climate_change,0.0
worldwide,Soweto,climate_change,0.0
worldwide,Freetown,climate_change,0.0
worldwide,State College,climate_change,0.0
worldwide,Bacoor,climate_change,0.0
worldwide,Quezon City,climate_change,79.0
worldwide,Riobamba,climate_change,0.0
worldwide,Lusaka,climate_change,0.0
worldwide,Kigali,climate_change,0.0
worldwide,Wellington,climate_change,0.0
worldwide,Las Pinas,climate_change,0.0
worldwide,San Pedro,climate_change,0.0
worldwide,Muntinlupa,climate_change,0.0
worldwide,Makati,climate_change,76.0
worldwide,Kingston,climate_change,0.0
worldwide,Oxford,climate_change,0.0
worldwide,Port Louis,climate_change,0.0
worldwide,Mabalacat,climate_change,0.0
worldwide,Tumbes,climate_change,0.0
worldwide,Richards Bay,climate_change,0.0
worldwide,Taguig,climate_change,0.0
worldwide,Monrovia,climate_change,0.0
worldwide,Pretoria,climate_change,70.0
worldwide,New Haven,climate_change,0.0
worldwide,Fairfax,climate_change,0.0
worldwide,Carrboro,climate_change,0.0
worldwide,Guelph,climate_change,0.0
worldwide,Managua,climate_change,0.0
worldwide,Bozeman,climate_change,0.0
worldwide,Blacksburg,climate_change,0.0
worldwide,Silver Spring,climate_change,0.0
worldwide,Pasig,climate_change,0.0
worldwide,Bloomington,climate_change,0.0
worldwide,Missoula,climate_change,0.0
worldwide,Oakville,climate_change,0.0
worldwide,Yaoundé,climate_change,0.0
worldwide,Windhoek,climate_change,0.0
worldwide,Greenbelt,climate_change,0.0
worldwide,Shillong,climate_change,0.0
worldwide,Exeter,climate_change,0.0
worldwide,Dehradun,climate_change,0.0
worldwide,Hobart,climate_change,0.0
worldwide,Centurion,climate_change,0.0
worldwide,Pasay,climate_change,0.0
worldwide,Parañaque,climate_change,0.0
worldwide,Chagford,climate_change,0.0
worldwide,Peterborough,climate_change,0.0
worldwide,Markham,climate_change,0.0
worldwide,Victoria,climate_change,0.0
worldwide,Quetta,climate_change,0.0
worldwide,Piura,climate_change,0.0
worldwide,Kampala,climate_change,0.0
worldwide,Norman,climate_change,0.0
worldwide,Chapel Hill,climate_change,0.0
worldwide,Iowa City,climate_change,0.0
worldwide,Jammu,climate_change,0.0
worldwide,Guayaquil,climate_change,0.0
worldwide,Harrisonburg,climate_change,0.0
worldwide,Loja,climate_change,0.0
worldwide,Trujillo,climate_change,0.0
worldwide,Santa Barbara,climate_change,0.0
worldwide,Newmarket,climate_change,0.0
worldwide,Morgantown,climate_change,0.0
worldwide,Cambridge,climate_change,0.0
worldwide,Cambridge,climate_change,0.0
worldwide,Villa María del Triunfo,climate_change,0.0
worldwide,Athens,climate_change,0.0
worldwide,Mandaluyong,climate_change,0.0
worldwide,Milton,climate_change,0.0
worldwide,Johannesburg,climate_change,59.0
worldwide,Kingston,climate_change,0.0
worldwide,Brampton,climate_change,0.0
worldwide,San Ramon,climate_change,0.0
worldwide,Comayaguela,climate_change,0.0
worldwide,Washington,climate_change,58.0
worldwide,Ouagadougou,climate_change,0.0
worldwide,Fort Collins,climate_change,0.0
worldwide,Westport,climate_change,0.0
worldwide,Cuenca,climate_change,0.0
worldwide,Srinagar,climate_change,0.0
worldwide,Santo Domingo,climate_change,0.0
worldwide,Hyderabad,climate_change,57.0
worldwide,Kitchener,climate_change,0.0
worldwide,Richmond Hill,climate_change,0.0
worldwide,Eugene,climate_change,0.0
worldwide,Monterey,climate_change,0.0
worldwide,Cuttack,climate_change,0.0
worldwide,Ottawa,climate_change,56.0
worldwide,Nairobi,climate_change,56.0
worldwide,Chiclayo,climate_change,0.0
worldwide,Ann Arbor,climate_change,0.0
worldwide,Cusco,climate_change,0.0
worldwide,Texcoco,climate_change,0.0
worldwide,Accra,climate_change,55.0
worldwide,Bethesda,climate_change,0.0
worldwide,Patiala,climate_change,0.0
worldwide,Tacna,climate_change,0.0
worldwide,Gainesville,climate_change,0.0
worldwide,Whitby,climate_change,0.0
worldwide,Auckland,climate_change,55.0
worldwide,Sylhet,climate_change,0.0
worldwide,Somerville,climate_change,0.0
worldwide,Arlington,climate_change,0.0
worldwide,Vacoas-Phoenix,climate_change,0.0
worldwide,Vaughan,climate_change,0.0
worldwide,San Marcos,climate_change,0.0
worldwide,Galgate,climate_change,0.0
worldwide,Kharagpur,climate_change,0.0
worldwide,McLean,climate_change,0.0
worldwide,Burlington,climate_change,0.0
worldwide,Ate,climate_change,0.0
worldwide,Rawalpindi,climate_change,0.0
worldwide,Saint Catharines,climate_change,0.0
worldwide,Amritsar,climate_change,0.0
worldwide,Marietta-Alderwood,climate_change,0.0
worldwide,Jalandhar,climate_change,0.0
worldwide,Littleton,climate_change,0.0
worldwide,Islamabad,climate_change,0.0
worldwide,Hamilton,climate_change,0.0
worldwide,Port Elizabeth,climate_change,0.0
worldwide,Varanasi,climate_change,0.0
worldwide,Cape Town,climate_change,52.0
worldwide,Barry,climate_change,0.0
worldwide,Honolulu,climate_change,0.0
worldwide,London,climate_change,51.0
worldwide,Waterloo,climate_change,0.0
worldwide,Thunder Bay,climate_change,0.0
worldwide,College Station,climate_change,0.0
worldwide,Plymouth,climate_change,0.0
worldwide,Syracuse,climate_change,0.0
worldwide,Bandar Seri Begawan,climate_change,0.0
worldwide,Thornton,climate_change,0.0
worldwide,Aurora,climate_change,0.0
US,Aubrey,climate_change,0.0
US,Orono,climate_change,0.0
US,Durham,climate_change,100.0
US,Mansfield,climate_change,0.0
US,Frankfort,climate_change,0.0
US,Hanover,climate_change,0.0
US,Amherst,climate_change,0.0
US,Corvallis,climate_change,0.0
US,Stanford,climate_change,0.0
US,Boulder,climate_change,83.0
US,East Lansing,climate_change,0.0
US,Ithaca,climate_change,0.0
US,East Riverdale,climate_change,0.0
US,Houghton,climate_change,0.0
US,College Park,climate_change,0.0
US,Princeton,climate_change,0.0
US,Davis,climate_change,71.0
US,Oxford,climate_change,0.0
US,Elmsford,climate_change,0.0
US,Pullman,climate_change,0.0
US,Northfield,climate_change,0.0
US,Montpelier,climate_change,0.0
US,Superior,climate_change,0.0
US,Berkeley,climate_change,63.0
US,Santa Cruz,climate_change,0.0
US,Burlington,climate_change,0.0
US,Flagstaff,climate_change,0.0
US,Drexel,climate_change,0.0
US,Boone,climate_change,0.0
US,South Kingstown,climate_change,0.0
US,West Lafayette,climate_change,0.0
US,State College,climate_change,0.0
US,Moscow,climate_change,0.0
US,Allendale Charter Township,climate_change,0.0
US,Albany,climate_change,57.0
US,Stony Brook,climate_change,0.0
US,Los Altos,climate_change,0.0
US,Laramie,climate_change,0.0
US,New Paltz,climate_change,0.0
US,Clemson,climate_change,0.0
US,Athens,climate_change,0.0
US,New Haven,climate_change,52.0
US,Fairfax,climate_change,0.0
US,Carrboro,climate_change,0.0
US,Waterville,climate_change,0.0
US,Urbana,climate_change,0.0
US,El Cerrito,climate_change,0.0
US,Idaho Springs,climate_change,0.0
US,Ames,climate_change,0.0
US,Bozeman,climate_change,0.0
US,Cheswold,climate_change,0.0
US,Blacksburg,climate_change,0.0
US,Silver Spring,climate_change,0.0
US,Bloomington,climate_change,0.0
US,Missoula,climate_change,0.0
US,Greenbelt,climate_change,0.0
US,Winona,climate_change,0.0
US,Wellesley,climate_change,0.0
US,Keene,climate_change,0.0
US,Claremont,climate_change,0.0
US,Oberlin,climate_change,0.0
US,Normal,climate_change,0.0
US,Champaign,climate_change,0.0
US,Durango,climate_change,0.0
US,Norman,climate_change,0.0
US,Chapel Hill,climate_change,0.0
US,Iowa City,climate_change,0.0
US,Harrisonburg,climate_change,0.0
US,Felton,climate_change,0.0
US,Santa Barbara,climate_change,45.0
US,Morgantown,climate_change,0.0
US,Rexburg,climate_change,0.0
US,Cambridge,climate_change,44.0
US,Athens,climate_change,0.0
US,Northampton,climate_change,0.0
US,Concord,climate_change,0.0
US,San Ramon,climate_change,0.0
US,Washington,climate_change,43.0
US,Fort Collins,climate_change,43.0
US,Westport,climate_change,0.0
US,Lexington,climate_change,0.0
US,Eugene,climate_change,42.0
US,Monterey,climate_change,0.0
US,Montgomery,climate_change,0.0
US,Logan,climate_change,0.0
US,Mountain House,climate_change,0.0
US,Ann Arbor,climate_change,42.0
US,San Luis Obispo,climate_change,0.0
US,Salinas,climate_change,0.0
US,Bethesda,climate_change,0.0
US,Rockville,climate_change,0.0
US,Evanston,climate_change,0.0
US,Towson,climate_change,0.0
US,Morro Bay,climate_change,0.0
US,Fitchburg,climate_change,0.0
US,Gainesville,climate_change,41.0
US,Oakton,climate_change,0.0
US,Cedar Falls,climate_change,0.0
US,Stevens Point,climate_change,0.0
US,Somerville,climate_change,0.0
US,Pinecrest,climate_change,0.0
US,Mount Pleasant,climate_change,0.0
US,Arlington,climate_change,40.0
US,Olympia,climate_change,0.0
US,San Marcos,climate_change,0.0
US,McLean,climate_change,0.0
US,South Brunswick Township,climate_change,0.0
US,Marietta-Alderwood,climate_change,0.0
US,Andover,climate_change,0.0
US,Essex,climate_change,0.0
US,Littleton,climate_change,0.0
US,Hilo,climate_change,0.0
US,Estero,climate_change,0.0
US,Mercer Island,climate_change,0.0
US,Fairbanks,climate_change,0.0
US,Kent,climate_change,0.0
US,Statesboro,climate_change,0.0
US,Ypsilanti,climate_change,0.0
US,New Canaan,climate_change,0.0
US,Honolulu,climate_change,38.0
US,Arlington,climate_change,38.0
US,Potomac,climate_change,0.0
US,College Station,climate_change,0.0
US,Merced,climate_change,0.0
US,Syracuse,climate_change,38.0
US,Thornton,climate_change,0.0
US,Maplewood,climate_change,0.0
US,Moorhead,climate_change,0.0
US,West Windsor Township,climate_change,0.0
US,Oakland,climate_change,38.0
US,Monroe,climate_change,0.0
US,Malibu,climate_change,0.0
US,Tigard,climate_change,0.0
US,Tallahassee,climate_change,37.0
US,Centertown,climate_change,0.0
US,Chico,climate_change,0.0
US,Brookline,climate_change,0.0
US,Tucson,climate_change,36.0
US,Sammamish,climate_change,0.0
US,Bangor,climate_change,0.0
US,Clayton,climate_change,0.0
US,Oakland charter Township,climate_change,0.0
US,Glassboro,climate_change,0.0
US,Belmont,climate_change,0.0
US,Irvine,climate_change,36.0
US,Durham,climate_change,36.0
US,Madison,climate_change,36.0
US,Wahiawa,climate_change,0.0
US,San Rafael,climate_change,0.0
US,Lewiston,climate_change,0.0
US,Santa Fe,climate_change,0.0
US,Pleasanton,climate_change,36.0
US,Santa Rosa,climate_change,0.0
US,Cotati,climate_change,0.0
US,Menlo Park,climate_change,0.0
US,Goleta,climate_change,0.0
US,Reston,climate_change,35.0
US,Carlisle,climate_change,0.0
US,Hayward,climate_change,0.0
US,University Park,climate_change,0.0
US,Odessa,climate_change,0.0
US,Stillwater,climate_change,0.0
US,Lawrence,climate_change,0.0
US,Albany,climate_change,35.0
US,Saint Paul,climate_change,35.0
US,Charlottesville,climate_change,0.0
US,Hamden,climate_change,0.0
US,Aspen Hill,climate_change,0.0
US,Wheaton-Glenmont,climate_change,0.0
US,Murphysboro,climate_change,0.0
US,Starkville,climate_change,0.0
US,Council Bluffs,climate_change,0.0
US,Providence,climate_change,35.0
US,Bellingham,climate_change,0.0
US,Cupertino,climate_change,0.0
US,Westfield,climate_change,0.0
US,Beltsville,climate_change,0.0
US,Portland,climate_change,34.0
US,Columbia,climate_change,0.0
US,Provo,climate_change,0.0
US,Montclair,climate_change,0.0
US,Catonsville,climate_change,0.0
US,Greenwich,climate_change,0.0
US,Worcester,climate_change,0.0
US,Beverly,climate_change,0.0
US,Annapolis,climate_change,0.0
US,Kaysville,climate_change,0.0
US,Salem,climate_change,0.0
US,West Haven,climate_change,0.0
US,Renton,climate_change,0.0
US,Allen,climate_change,0.0
US,Highlands Ranch,climate_change,0.0
US,Catalina Foothills,climate_change,0.0
US,Pleasant Hill,climate_change,0.0
US,La Habra,climate_change,0.0
US,Richland,climate_change,0.0
US,Mahwah,climate_change,0.0
US,Elk Grove,climate_change,0.0
US,Duluth,climate_change,0.0
US,DeKalb,climate_change,0.0
UK,Crumlin,climate_change,0.0
UK,Chorley,climate_change,0.0
UK,Redcar,climate_change,0.0
UK,Stithians,climate_change,0.0
UK,Winchester,climate_change,0.0
UK,Farnborough,climate_change,100.0
UK,Bridge of Allan,climate_change,0.0
UK,Haverfordwest,climate_change,0.0
UK,Leuchars,climate_change,0.0
UK,Carmarthen,climate_change,0.0
UK,Abingdon,climate_change,0.0
UK,Falmouth,climate_change,0.0
UK,Tregaron,climate_change,0.0
UK,Beaconsfield,climate_change,0.0
UK,Skipton,climate_change,0.0
UK,Moffat,climate_change,0.0
UK,Conwy,climate_change,0.0
UK,Dumfries,climate_change,0.0
UK,Coleraine,climate_change,0.0
UK,Bangor,climate_change,0.0
UK,Newtown,climate_change,0.0
UK,Macclesfield,climate_change,0.0
UK,Long Ashton,climate_change,65.0
UK,Lancaster,climate_change,0.0
UK,Oxford,climate_change,63.0
UK,Esh Winning,climate_change,62.0
UK,Stirling,climate_change,0.0
UK,Crockenhill,climate_change,0.0
UK,Winsley,climate_change,0.0
UK,Warwick,climate_change,0.0
UK,Lewes,climate_change,0.0
UK,Saint Andrews,climate_change,0.0
UK,Mabe Burnthouse,climate_change,0.0
UK,Pontyberem,climate_change,0.0
UK,Lechlade-on-Thames,climate_change,0.0
UK,Exeter,climate_change,55.0
UK,Forfar,climate_change,0.0
UK,Chagford,climate_change,54.0
UK,Sketty,climate_change,0.0
UK,Fulford,climate_change,0.0
UK,Whitland,climate_change,0.0
UK,Tadcaster,climate_change,0.0
UK,Hereford,climate_change,0.0
UK,Stokesley,climate_change,0.0
UK,Bath,climate_change,0.0
UK,Penryn,climate_change,0.0
UK,Godalming,climate_change,0.0
UK,Harpenden,climate_change,53.0
