Parent_Location,Region,Topic,Popularity
worldwide,Kiribati,climate_change,0.0
worldwide,Tuvalu,climate_change,0.0
worldwide,Solomon Islands,climate_change,0.0
worldwide,Marshall Islands,climate_change,0.0
worldwide,Vanuatu,climate_change,0.0
worldwide,Micronesia,climate_change,0.0
worldwide,Tonga,climate_change,0.0
worldwide,Fiji,climate_change,0.0
worldwide,Samoa,climate_change,0.0
worldwide,Bhutan,climate_change,0.0
worldwide,Papua New Guinea,climate_change,0.0
worldwide,Eritrea,climate_change,0.0
worldwide,Palau,climate_change,0.0
worldwide,American Samoa,climate_change,0.0
worldwide,Lesotho,climate_change,0.0
worldwide,Zimbabwe,climate_change,100.0
worldwide,Cook Islands,climate_change,0.0
worldwide,Belize,climate_change,0.0
worldwide,Philippines,climate_change,85.0
worldwide,Ethiopia,climate_change,83.0
worldwide,Malawi,climate_change,0.0
worldwide,Eswatini,climate_change,0.0
worldwide,Dominica,climate_change,0.0
worldwide,Svalbard & Jan Mayen,climate_change,0.0
worldwide,Nauru,climate_change,0.0
worldwide,Rwanda,climate_change,0.0
worldwide,Guyana,climate_change,0.0
worldwide,Nepal,climate_change,65.0
worldwide,Botswana,climate_change,0.0
worldwide,Nicaragua,climate_change,64.0
worldwide,St Vincent & the Grenadines,climate_change,0.0
worldwide,Gambia,climate_change,0.0
worldwide,Zambia,climate_change,0.0
worldwide,Sierra Leone,climate_change,0.0
worldwide,Grenada,climate_change,0.0
worldwide,Liberia,climate_change,0.0
worldwide,Jamaica,climate_change,56.0
worldwide,Mauritius,climate_change,0.0
worldwide,Namibia,climate_change,0.0
worldwide,Comoros,climate_change,0.0
worldwide,Ghana,climate_change,51.0
worldwide,Montserrat,climate_change,0.0
worldwide,Uganda,climate_change,49.0
worldwide,Northern Mariana Islands,climate_change,0.0
worldwide,São Tomé & Príncipe,climate_change,0.0
worldwide,Kenya,climate_change,49.0
worldwide,South Africa,climate_change,49.0
worldwide,Niger,climate_change,0.0
worldwide,Maldives,climate_change,0.0
worldwide,Cameroon,climate_change,0.0
worldwide,Ecuador,climate_change,46.0
worldwide,South Sudan,climate_change,0.0
worldwide,Trinidad & Tobago,climate_change,0.0
worldwide,Tanzania,climate_change,45.0
worldwide,El Salvador,climate_change,45.0
worldwide,Cape Verde,climate_change,0.0
worldwide,St Lucia,climate_change,0.0
worldwide,Burkina Faso,climate_change,0.0
worldwide,New Zealand,climate_change,42.0
worldwide,Seychelles,climate_change,0.0
worldwide,Cuba,climate_change,0.0
worldwide,Somalia,climate_change,0.0
worldwide,Mozambique,climate_change,0.0
worldwide,Burundi,climate_change,0.0
worldwide,Honduras,climate_change,40.0
worldwide,Antigua & Barbuda,climate_change,0.0
worldwide,Australia,climate_change,39.0
worldwide,Timor-Leste,climate_change,0.0
worldwide,St Kitts & Nevis,climate_change,0.0
worldwide,Madagascar,climate_change,0.0
worldwide,Panama,climate_change,36.0
worldwide,Peru,climate_change,36.0
worldwide,US Virgin Islands,climate_change,0.0
worldwide,Barbados,climate_change,0.0
worldwide,Anguilla,climate_change,0.0
worldwide,Falkland Islands (Islas Malvinas),climate_change,0.0
worldwide,Pakistan,climate_change,34.0
worldwide,Chad,climate_change,0.0
worldwide,Brunei,climate_change,0.0
worldwide,Togo,climate_change,0.0
worldwide,Costa Rica,climate_change,33.0
worldwide,British Virgin Islands,climate_change,0.0
worldwide,Nigeria,climate_change,33.0
worldwide,Bangladesh,climate_change,32.0
worldwide,Guatemala,climate_change,32.0
worldwide,Canada,climate_change,31.0
worldwide,Mexico,climate_change,31.0
worldwide,Bahamas,climate_change,0.0
worldwide,Bolivia,climate_change,30.0
worldwide,Myanmar (Burma),climate_change,0.0
worldwide,Benin,climate_change,0.0
worldwide,Equatorial Guinea,climate_change,0.0
worldwide,Singapore,climate_change,29.0
worldwide,Isle of Man,climate_change,0.0
worldwide,Dominican Republic,climate_change,29.0
worldwide,Turks & Caicos Islands,climate_change,0.0
worldwide,United Arab Emirates,climate_change,29.0
worldwide,Haiti,climate_change,0.0
worldwide,Gabon,climate_change,0.0
worldwide,Djibouti,climate_change,0.0
