source,target,weight
573050,4910822,1
573050,3228310,1
4714943,3234346,1
4714943,3810918,1
4714943,6314467,1
4714943,5530552,1
4714943,721964,1
6713160,6373634,1
5011084,1053990,2
683607,1817102,1
522903,6117315,1
247709,5905067,1
247709,6997070,1
247709,4696624,1
1801414,5700180,1
2030287,533853,1
5915748,3194605,1
1260302,7170514,1
1260302,2988489,1
1260302,1203493,1
1107933,6468513,1
1107933,4907296,1
1107933,4573873,1
1646965,1220847,1
1058401,1521658,1
5094866,6480151,1
7186706,5905067,1
6313718,5574791,1
1152448,702693,1
2517126,6426219,1
4330479,4648593,1
792034,6627668,1
792034,4645949,1
5411338,30217,1
7134893,7257797,1
2586529,1400361,1
3745179,3887914,1
3745179,3332635,1
3745179,30217,1
3745179,5954012,1
5043569,4461145,1
2605686,787493,1
1994914,3389981,1
4086453,7403320,1
327155,6428323,1
327155,6869345,1
1880019,4128263,1
2874115,765979,1
5758417,2032268,1
1450342,257254,1
1450342,1036750,1
1450342,2480430,1
1450342,1419975,1
1354870,3389981,1
734431,5799037,1
5549241,2616007,1
6596576,4540325,1
863493,956301,1
2607294,4727433,1
2035481,4579652,1
6317632,7211089,1
2935932,1978593,1
3530804,2085114,1
3755470,3389981,1
5887780,4699258,1
1599282,1417815,1
4557831,3389981,1
2368999,3389981,1
6045397,4689849,1
6650966,1400361,1
1800344,4579652,1
4902425,405342,1
1008520,7257820,1
13937,695675,1
161338,5954012,1
1133625,7257797,1
1189360,4579652,1
1353517,1073463,1
3170864,3389981,1
3918068,3827109,1
3918068,2085114,2
642712,3827109,1
817409,787493,1
817409,4881929,1
6656813,1400361,1
4885105,1036750,1
4885105,2085114,1
616884,3389981,1
844324,6430374,1
1742975,2085114,1
1297207,7307558,1
269708,6613086,1
6742658,3389981,1
6230268,2087977,1
3528951,6426219,1
6367744,3389981,1
6267937,2346715,1
2948927,956301,1
5391674,6430374,1
2746354,787493,1
2746354,2085114,2
2746354,6860225,1
1061511,428497,1
4403607,2539096,1
6024971,1771985,1
6036296,7375123,1
2848661,7257797,1
67964,4579652,1
1293366,2387107,1
3015596,5215088,1
3045735,7160308,1
5429641,5954012,1
6161135,1400361,1
4695158,4579652,1
5347077,7307558,1
5510677,6405891,1
6988241,2936480,1
6988241,4349074,1
360347,5274105,1
516575,6127235,1
1042743,1400361,1
3054421,4562149,1
440382,1400361,1
3742016,1942264,1
6037766,1400361,1
2699106,6426219,1
5984578,5081072,1
2053383,2616007,1
2053383,956301,1
704494,7257820,1
2022561,4037758,1
1696543,4579652,1
2086920,1073463,1
630048,4061902,1
6302694,1400361,1
4650947,3236713,1
351232,4561638,1
5794085,1073463,1
3655621,3389981,1
2258567,3817794,1
2935848,3827109,1
5977002,4648593,1
5053991,6480417,1
1372297,787493,1
1372297,3887914,2
1372297,2085114,2
2924287,4474792,1
6866494,5968356,1
4058089,6426219,1
1535480,7169425,1
4559707,5954012,1
5126206,7257797,1
327708,6405891,1
327708,3466622,1
1470226,7257797,1
2581068,1073463,1
2581068,1249434,1
2581068,3466622,1
642783,3234346,1
642783,1220847,1
4581342,7257797,1
6403247,7211089,1
344409,956301,1
4167584,1720479,1
3482325,4648593,1
2619462,3264879,1
2619462,1006957,5
2619462,7116235,1
2619462,5115454,1
2619462,470304,1
2619462,2488060,3
2619462,2434553,1
2619462,795055,2
2619462,3558792,1
2619462,2988323,1
2619462,3561174,5
2619462,140315,4
2619462,4423563,6
2619462,3587168,4
2619462,6127511,1
2619462,5992502,1
2619462,3942730,1
2619462,546003,177
2619462,3193675,2
2619462,5729073,1
2619462,1331157,5
2619462,1575711,3
2619462,6405891,187
2619462,5865086,1
2619462,3881758,1
2619462,2874169,1
2619462,4323687,251
2619462,5247976,256
2619462,5655953,1
2619462,3628680,54
2619462,4569008,1
2619462,2531010,19
2619462,967808,1
2619462,3425901,4
2619462,60,1
2619462,5593845,12
2619462,4045133,4
2619462,4869162,1
2619462,5089940,2
2619462,3652372,1
2619462,2286514,2
2619462,4910822,1
2619462,2484055,1
2619462,3334636,1
2619462,4788515,1
2619462,4506216,2
2619462,6223380,3
2619462,5323533,94
2619462,4077775,2
2619462,314849,3
2619462,4395676,5
2619462,2508878,7
2619462,3310604,6
2619462,1732070,1
2619462,2376888,1
2619462,2052257,2
2619462,3271729,3
2619462,3370162,31
2619462,2969623,1
2619462,6683668,10
2619462,1949854,4
2619462,883064,8
2619462,5807503,2
2619462,6094028,1
2619462,5593898,1
2619462,3887914,12
2619462,756707,1
2619462,1788978,4
2619462,1678408,1
2619462,336217,1
2619462,3773089,10
2619462,4286621,84
2619462,3135417,1
2619462,5173711,2
2619462,37770,1
2619462,2264604,1
2619462,5308538,4
2619462,890687,3
2619462,393234,2
2619462,2168567,2
2619462,2400408,2
2619462,5580756,1
2619462,4272393,4
2619462,7155434,2
2619462,2362674,5
2619462,1798959,1
2619462,6910546,6
2619462,5543734,1
2619462,5912866,44
2619462,2320979,5
2619462,1425364,1
2619462,3550913,2
2619462,7112788,1
2619462,1541428,15
2619462,3896640,4
2619462,5550389,1
2619462,6026025,25
2619462,4597543,8
2619462,6436680,1
2619462,3775575,25
2619462,1319533,2
2619462,3625985,6
2619462,5643539,1
2619462,1351777,3
2619462,832665,2
2619462,4422932,1
2619462,4224182,3
2619462,524947,2
2619462,1036750,25
2619462,4674959,1
2619462,4349541,1
2619462,6748062,1
2619462,2117976,1
2619462,7377070,1
2619462,2288415,3
2619462,5032392,1
2619462,6186877,1
2619462,7342133,1
2619462,6086362,1
2619462,6246762,5
2619462,1119926,1
2619462,836698,7
2619462,5693830,2
2619462,373619,19
2619462,1630804,1
2619462,1565407,33
2619462,4357181,1
2619462,3002196,5
2619462,4810456,2
2619462,4629535,1
2619462,4128136,9
2619462,3810775,142
2619462,2136722,6
2619462,3323240,1
2619462,1017938,3
2619462,5382333,31
2619462,1297579,76
2619462,3340659,1
2619462,7020636,2
2619462,6412713,2
2619462,1518081,2
2619462,4632504,16
2619462,1250784,2
2619462,6534307,6
2619462,2863727,1
2619462,6450400,3
2619462,4672826,24
2619462,1018138,1
2619462,260339,42
2619462,1733115,3
2619462,4546112,2
2619462,118671,8
2619462,7333722,16
2619462,1054682,1
2619462,4881499,4
2619462,6794480,92
2619462,208851,1
2619462,3612114,1
2619462,3483751,5
2619462,5580173,1
2619462,3850541,1
2619462,3479286,1
2619462,2327795,1
2619462,2458547,1
2619462,3289679,3
2619462,2811292,1
2619462,6141104,2
2619462,395868,17
2619462,3991483,5
2619462,2549275,3
2619462,4645949,1
2619462,2625411,2
2619462,3356090,5
2619462,2544805,13
2619462,647033,2
2619462,4932128,1
2619462,3484993,2
2619462,7216389,2
2619462,1346119,2
2619462,589433,9
2619462,2111810,23
2619462,4128263,1
2619462,3794233,11
2619462,5085072,33
2619462,6722746,1
2619462,617000,1
2619462,6303531,150
2619462,1456940,2
2619462,3774614,1
2619462,4305997,1
2619462,3766231,2
2619462,1605245,3
2619462,5675329,1
2619462,5184835,2
2619462,4682009,3
2619462,2035839,46
2619462,5561404,1
2619462,7225774,2
2619462,1433330,11
2619462,2085114,637
2619462,3815827,3
2619462,4306072,4
2619462,2758433,1
2619462,6325651,1
2619462,3847410,2
2619462,1861239,1
2619462,5168976,3
2619462,94832,1
2619462,2887751,8
2619462,3997990,171
2619462,2797377,3
2619462,4184142,1
2619462,697894,1
2619462,1525502,2
2619462,1347262,1
2619462,5396486,3
2619462,3102673,2
2619462,1050757,33
2619462,1188190,1
2619462,5495506,1
2619462,4884703,18
2619462,5999162,3
2619462,5379414,1
2619462,2311830,4
2619462,6981102,2
2619462,7147804,1
2619462,5512045,2
2619462,5290282,1
2619462,2254687,1
2619462,3125523,1
2619462,5048328,1
2619462,6149090,20
2619462,6596800,1
2619462,2638083,7
2619462,6844828,1
2619462,7184038,2
2619462,6300582,2
