source,target,weight
573050,4910822,3
573050,1403185,1
573050,3466622,1
6713160,449058,1
976843,7286237,3
247709,1644767,1
247709,2803641,1
1801414,4645949,1
5271103,5480731,1
6013645,1418393,1
6001690,2227116,1
1107933,1157866,1
1107933,2473324,1
1107933,1821738,1
6204284,6910733,1
2326798,1761987,1
2326798,3233983,1
2326798,6016494,1
6932124,693452,263
4539244,1050757,1
2509345,322815,1
6319087,1586255,1
5883120,5613435,6
5883120,969755,9
5883120,6778094,2
5883120,6897137,1
3288304,3962328,1
366230,5026141,1
2363868,1989652,1
5099306,2740492,1
1055236,6778094,1
6438586,1018199,1
3042889,6283241,1
3042889,2266303,1
3127146,1018199,1
5988887,6299070,1
2662631,6288739,1
2662631,4275307,1
2662631,4660584,1
2360603,5601852,1
2360603,4645949,1
2360603,2085114,1
1880019,1169973,1
2874115,5613435,9
2874115,969755,5
2874115,6778094,4
2874115,2085114,1
2874115,6897137,1
271426,2924832,1
271426,704575,1
3017471,5613435,4
3017471,969755,2
3017471,6778094,6
3017471,6897137,1
4601043,3268728,1
1792895,6243066,1
790301,687117,1
5706610,4734462,1
2804210,1625605,1
7389606,1555281,1
5729128,1018199,1
2129013,1018199,1
3530804,4645949,1
1866933,1771030,1
2448477,2085114,1
1472080,1427142,1
6351001,3015651,1
3893960,1018199,1
6665464,6491199,2
3385831,1625605,1
4561571,3962328,1
1800344,3887914,1
3776848,2856892,2
3776848,1625605,1
3344923,3687549,1
5941522,6243066,1
7318101,1555281,1
7351527,2185783,2
6779745,966079,1
2388357,4961237,1
5071199,4052830,1
5912392,1018199,1
534482,1018199,1
365604,4668207,2
4058540,1180262,1
580473,1018199,1
2318088,4910822,1
5443291,6800186,1
3965101,3962328,1
3918068,2924832,1
3918068,2085114,1
3730803,7302734,1
603431,3505788,1
5270859,4150639,1
817409,1666885,1
5099569,1555281,1
828732,6712119,1
2092078,1625605,1
3959741,5472250,1
1742975,2085114,1
6121381,3470422,1
368797,3406097,1
3878769,1625605,1
6230268,2682724,1
3126664,1010984,1
5441557,6217186,1
1793350,1625605,1
2746354,135380,1
7200135,4061902,1
6528963,2085114,1
6021962,6299070,1
3727385,4910822,1
1293366,5563104,2
6214039,1795712,1
6553044,508397,1
5429641,1161689,1
836697,2085114,1
836697,1364145,2
3200813,322815,1
6684642,508397,1
3666569,3962328,1
523713,2068739,1
516575,481374,1
516575,5560954,1
5586766,1625605,1
1015929,1169973,1
6769255,1009445,1
5984578,1625605,1
2022561,508397,1
6698512,1625605,1
4941966,4645949,1
7305470,1169973,1
3009448,5795856,1
980327,6283241,1
3084757,4991946,1
3394507,322815,1
958735,4150639,1
3525468,1161689,2
1392498,4645949,1
3446391,6243066,1
6628633,1625605,1
7168359,322815,1
7168359,2319882,1
4529391,4910822,1
1169612,5369774,1
1372297,2085114,1
3094271,1555281,1
5936218,340818,1
7299450,4150639,1
2581068,6283241,1
2581068,1555281,2
4414399,1555281,2
7330094,322815,1
6093194,1625605,1
2733286,1555281,1
