source,target,weight
2309549,1050757,1
4714943,4173502,1
4714943,6225411,1
5011084,1053990,2
5011084,6300565,1
5011084,6736728,1
5011084,1914561,1
5011084,5827097,1
5011084,4330569,1
5011084,443363,1
5011084,5295796,1
5011084,3954234,1
5011084,5819839,1
5011084,4636397,1
5011084,4501855,1
6508404,1637177,1
5271103,6378566,1
2030287,5324466,1
2030287,5988951,1
2030287,5012121,1
2030287,746053,1
1107933,3479554,1
2326798,3389185,1
2628545,4818939,1
1787542,6804652,1
1950285,5943680,1
1950285,5168196,3
4590697,5324331,1
2162818,5168196,1
4932243,5168196,1
6614667,1866785,1
6882995,1866785,1
927270,1866785,1
710687,1866785,1
6282831,1866785,1
4634162,1866785,1
2600650,1866785,1
1877039,1942264,1
3064148,5168196,1
5883120,5613435,1
5883120,969755,6
5883120,2723557,1
5883120,6428323,1
5883120,1548952,1
5883120,1513635,1
6875185,2085114,1
6184558,5943680,1
1574062,5324331,1
3025554,6243066,1
6035558,1866785,1
5099306,5324331,1
6438586,6765197,1
3042889,135380,1
7052414,5087268,1
3096725,5168196,1
1581664,1866785,1
2662631,6026025,2
2662631,1733316,1
2662631,6428323,1
2662631,3023460,1
2662631,6123118,1
327155,7149906,1
3371081,2506867,1
2093785,5087268,1
2093785,2451340,1
1880019,6026025,1
1880019,1169973,1
1880019,135380,1
1880019,5282748,1
2874115,5613435,2
2874115,969755,3
2874115,2723557,1
2874115,6428323,1
3017471,5613435,1
3017471,2723557,2
3017471,1548952,2
3017471,1513635,3
772360,2723557,1
1426660,5324331,1
3087428,5168196,1
4213943,2270499,1
2548252,7050443,1
5061595,1866785,1
2399039,5168196,1
2373192,2974247,1
118809,5464444,1
4159463,5324331,1
6245174,2085114,1
1533443,5168196,1
5007268,5479468,1
4161751,1866785,1
2935932,1767967,1
4085849,6234729,1
7222639,3430274,1
1888026,5168196,1
3671546,5889349,1
6136740,5168196,1
1097466,1612767,1
1376905,5168196,1
5245399,1942264,1
1130586,5943680,1
1800344,2085114,2
3776848,762281,1
6609529,5324331,1
2026543,7112788,1
5573147,2723557,1
5747913,5776951,1
2076034,3921325,1
2249876,1866785,1
892977,1866785,1
51680,5324331,1
3371789,5837779,1
2966278,5614371,1
1189007,5324331,1
4499722,2085114,1
3013400,5091986,1
1276723,1942264,1
3970203,5012438,1
4910929,3372085,1
3965101,3393992,1
5998040,5324331,1
3624022,5324331,1
3601006,5168196,1
817409,6143137,1
817409,5678280,1
2399346,5168196,1
712461,4168634,1
7149270,6026025,1
1297207,5324331,1
7396135,5776951,1
4724563,5776951,1
6230268,5837779,1
6062859,762281,1
5230674,5324331,1
7295101,2551153,1
1571945,5324331,1
2746354,1866785,1
4156813,5168196,1
2132022,5168196,1
775358,3921325,1
6528963,2085114,1
3476488,762281,1
4026322,5455506,1
2868896,1942264,1
5723584,6599601,1
492400,4835239,1
720407,5324331,1
568937,2704769,1
1175946,1866785,1
1293366,1339941,1
1293366,6428323,1
5632894,5324331,1
5408434,4107259,1
974687,5324331,1
142072,5168196,1
4542796,607088,1
5098334,5168196,1
6710007,5168196,2
5229404,5168196,1
1276699,5168196,1
1797014,5324331,1
2510819,1866785,1
5377440,1866785,1
424976,5168196,1
7222575,5168196,1
1353345,5168196,1
1195678,5168196,1
2015565,5168196,1
3799269,1866785,1
5429641,135380,1
2499210,1866785,1
836697,1364145,2
20146,1272790,1
5394888,1942264,1
5560899,5324331,1
7318742,269046,1
484823,1866785,1
176050,1866785,1
2100548,1237838,1
5116095,1866785,1
4695158,1942264,1
5473346,2429088,1
1201622,5324331,1
3640486,1866785,1
5250121,5324331,1
5778679,1169973,1
4228475,1866785,1
3773997,1174515,2
3948008,7327576,1
1776822,4727643,1
2788532,1866785,1
2953140,5324331,1
1847243,6026025,1
1847243,5503177,1
241260,7050443,1
1552791,6143137,1
4192276,1866785,1
303417,5479468,1
2404844,1866785,1
6081846,1866785,1
5273654,1942264,1
6678269,1866785,1
7292960,1866785,1
5249585,773376,1
1486910,2906066,1
3157337,3430274,1
6792691,3921325,1
630048,2704769,1
630048,4061902,1
4647837,1866785,1
6998803,5168196,1
732868,1866785,1
3016306,3921325,1
2259658,1866785,1
5437433,1866785,1
6310408,1866785,1
1484994,1866785,1
3615412,5324331,1
6157523,1834693,1
1764396,5324331,1
3446391,6243066,1
4701766,1866785,1
4081471,5168196,1
3503376,5168196,1
4349857,312138,1
2090225,5168196,1
6628633,108165,1
217647,6501820,1
4356624,1866785,1
1788267,5168196,1
1235456,5168196,1
529016,5295523,1
6346431,1866785,1
3384859,1866785,1
3801344,1866785,1
1058379,1866785,1
3328591,1866785,1
4460183,5680336,1
4460183,6428323,1
4460183,4731429,1
1114839,1866785,1
6437091,5168196,1
1716951,3997990,1
2047356,1866785,1
6194643,5324331,1
838430,5324331,1
4445735,1866785,1
2464603,4634235,1
2464603,1866785,1
4832317,5168196,1
5361337,1866785,1
6990385,1866785,1
4275998,1866785,1
327708,5168196,1
7404023,5168196,1
5723867,6107368,1
4521627,5324331,1
6222251,5776951,1
6760631,5168196,1
1551032,1866785,1
2581068,5837779,2
2581068,5479468,1
2581068,5324331,2
2581068,5168196,21
2581068,5799037,1
2581068,2281089,1
2581068,1866785,10
3419694,5168196,1
4414399,1681472,1
4414399,1866785,2
3133744,5168196,2
5828818,1169973,1
65701,5479468,1
1221016,2180905,1
