source,target,weight
573050,118397,1
2309549,1123481,1
2309549,3448705,1
1197541,3045802,1
6713160,5976250,1
3015095,6185048,1
5271103,4610555,1
2030287,5776951,1
2030287,3505932,1
2030287,1503702,1
2030287,4368964,1
2030287,4720108,1
2030287,6802592,1
2030287,243821,1
2030287,6843890,1
2030287,3800864,1
6802210,2063338,1
1107933,4483234,1
1107933,4938495,1
1107933,3064561,1
2326798,4483234,1
4539244,3485825,1
4539244,5750709,1
4539244,3602312,1
4539244,4172488,1
2401256,434660,6
2471441,6162128,1
6313718,6974199,1
6313718,4790952,1
3511940,2724360,1
40310,80558,1
40310,2995532,1
515068,4442361,1
3328067,118671,1
6022925,3971807,1
6022925,2658423,1
1320672,7353965,1
6215333,4966502,1
3745179,2085114,1
5883120,6778094,1
5883120,6428323,2
4189524,4061902,1
349907,7125511,1
5481418,6026025,1
5481418,2085114,2
366230,3971807,1
5043569,2988489,1
2363868,1895977,1
1055236,7025982,1
1958871,1599150,1
3372794,688192,1
3042889,6373843,1
2302587,1513203,1
5988887,7125511,1
9854,5819030,2
2662631,6428323,1
2360603,3983965,1
2360603,4170663,1
2360603,2085114,3
2360603,6428323,1
2360603,1858711,2
327155,2085114,1
5408066,5540193,1
2874115,6778094,1
2874115,6428323,4
3017471,6778094,1
3017471,6428323,2
3226838,1225837,1
6067649,6026025,1
4141348,2085114,1
6245174,2085114,2
6245174,6428323,1
5729128,2085114,1
263075,6634568,1
2274377,3155210,1
6385466,5574791,1
6228181,2434553,1
6228181,5638237,1
3197466,1712067,1
1800344,3887914,1
1800344,322815,1
7000994,6772011,1
3179157,2616007,1
7334889,1599150,1
3633121,6026025,1
3633121,2085114,1
2162745,2988489,1
1147676,6026025,1
5268349,1831181,1
3967989,7144803,1
620595,1831181,1
6278476,1831181,1
4941013,3971807,1
1802885,6373843,1
5859850,3155210,1
4957210,1378102,1
3321355,6756828,1
3918068,2097615,1
5843823,1284889,1
695271,631930,1
825380,2085114,1
1647037,6341413,1
6518680,4622027,1
1390204,1627249,1
817409,4505068,2
817409,6026025,1
817409,279282,1
3053609,3971807,1
7149270,6026025,1
4914811,3182776,1
3712029,4660488,1
7295101,5330726,1
601554,6428323,1
2746354,1518081,1
812825,3439119,1
780203,2434553,1
3476488,762281,1
1620448,837669,1
5449614,3524516,1
222891,322815,1
6298032,2085114,1
2400275,6583326,1
786694,4460261,1
3727385,4910822,1
6400631,6428323,1
4647992,6964187,1
594790,2556209,3
5429641,3820295,1
5429641,5714673,1
4179447,2349570,1
7318742,2085114,1
1322890,395868,1
5742327,5574791,1
7283232,6583326,1
5510677,2085114,1
1929121,715048,1
4069880,1378102,1
2022561,1599150,1
2022561,3524516,1
223842,6373843,1
6088837,2539490,1
