source,target,weight
946777,6319222,1
6713160,157730,1
3331205,4067982,1
3015095,5625821,1
3015095,3155210,1
5011084,3302248,1
2266242,172266,1
247709,4067982,1
3122693,830417,1
5271103,7291723,1
6364996,3137558,2
6364996,124607,1
6364996,3018923,1
2030287,2612635,1
2030287,5233693,1
2030287,3505932,1
2030287,4631750,1
2030287,2838628,1
2030287,1948039,1
2030287,1544259,1
2030287,141482,1
1107933,5819503,1
1107933,6061038,1
2326798,3094435,1
2326798,3503664,1
2326798,1627741,1
5632774,877172,1
4485232,3155210,1
1983138,631313,1
5302843,6212683,1
207433,1627741,1
1470855,47438,1
586906,3703743,1
3376887,4979709,1
2534186,2571452,1
3745179,6026025,1
5883120,4985848,1
5883120,6428323,2
6111067,612250,1
3137951,6348552,1
349907,2539096,1
2772657,4979709,1
5043569,2988489,1
5992676,5891629,1
7159557,6382411,1
5099306,4629081,1
6438586,6357256,1
115938,395868,1
3572230,7014304,1
2169051,7014304,2
6532136,4645949,1
736225,1018199,1
736225,2085114,1
2302587,6137093,1
2302587,2959710,1
5952903,6357256,1
3127146,5040784,1
3127146,2959710,1
3127146,7014304,1
2921829,4985848,1
2203846,2218927,1
2203846,4946325,1
7145656,6784940,1
3847560,1018199,1
1581664,6357256,1
6097685,4454309,1
6763136,2634401,2
2360603,4645949,1
327155,2085114,1
3077345,3481882,1
1880019,5821749,1
2874115,4985848,3
2874115,6428323,4
1450342,5221256,1
1450342,2186016,1
271426,395868,1
3017471,4985848,1
3017471,6428323,3
4601043,4979709,1
1553114,5746879,2
1922106,4979709,1
118809,1018199,1
2762486,6357256,1
117367,2085114,1
5728296,6243066,1
6245174,2085114,2
6245174,6428323,1
5729128,1133505,1
2202337,4645752,1
509571,1018199,1
153549,395868,1
2129013,4979709,1
2274377,6319222,1
2188419,2190692,1
3530804,1018199,1
7392633,708801,1
3755470,5753405,1
3640599,395868,1
1497796,545499,1
1405691,178854,1
6166113,6357256,1
786813,4979709,1
6072411,5656793,1
6704871,395868,1
3776848,1885687,1
1043034,5452664,1
3633121,4979709,1
3633121,6608169,1
2162745,2988489,1
2162745,2634401,1
2750535,7258515,1
5853387,6243066,1
558587,708801,1
3117179,1941983,1
3117179,1858711,1
3172963,3095853,1
3172963,6243066,1
1484973,4668724,1
1484973,2085114,1
2966278,2503392,1
5048608,4938733,1
4058540,5040784,1
4058540,5146163,1
580473,4706182,1
580473,7014304,1
6461224,6357256,1
3321355,4022110,1
3678836,3750589,1
3918068,2085114,1
3918068,5578743,1
2787639,1018199,1
5843823,6357256,1
5270859,4156163,1
817409,4306072,1
3097631,3084502,2
5171879,5426567,1
4216300,876777,1
4216300,4645949,1
759454,6323759,1
4885105,2085114,1
6658008,772402,1
1444967,6319222,1
4123576,1018199,1
6206079,6348552,1
6673334,1018199,1
6673334,7014304,1
660434,5070657,1
5086370,5218696,1
858503,4979709,1
5391674,6061589,1
5880179,3787804,1
812825,395868,1
6528963,2085114,1
1829152,6161522,1
1584899,6428323,1
1247696,6243066,2
1069910,6357256,1
2868896,6319222,1
2868896,4848899,1
2868896,6357256,1
755121,6687211,1
4536882,1018199,1
1873110,6243066,1
5039443,5606806,1
2848661,623626,1
2848661,5753405,1
2848661,7291723,1
4647992,3887914,1
688707,3531470,1
6536827,14229,1
5113009,6283614,1
4522179,6430374,1
5574058,1346119,1
5545698,5966802,1
2100548,1237838,2
4695158,6100055,1
5510677,3317553,1
5510677,2085114,1
5916382,1335675,1
4034480,6243066,1
6289933,7014304,1
5473346,4128136,1
