BRMA,2010,2023,2024
Aberdeen and Shire,528.64,518.4,560.12
Argyll and Bute,382.06,531.55,544.36
Ayrshires,375.42,426.21,451.14
Dumfries and Galloway,358.94,424.26,434.24
Dundee and Angus,350.87,473.43,536.83
East Dunbartonshire,449.59,644.85,679.94
Fife,378.99,523.38,575.2
Forth Valley,386.8,533.33,585.86
Greater Glasgow,437.14,792.15,794.24
Highland and Islands,415.01,533.18,551.79
Lothian,520.36,885.47,1013.17
North Lanarkshire,373.16,477.14,508.57
Perth and Kinross,377.44,472.14,499.13
Renfrewshire / Inverclyde,374.39,463.49,519.44
Scottish Borders,336.19,428.79,451.08
South Lanarkshire,382.47,490.19,535.96
West Dunbartonshire,396.84,507.73,534.28
West Lothian,428.18,559.22,613.72
