BRMA,2010,2023,2024
Aberdeen and Shire,328.42,384.81,402.65
Argyll and Bute,315.6,418.84,495.96
Ayrshires,301.7,423.34,530.63
Dumfries and Galloway,277.88,398.33,438.29
Dundee and Angus,262.86,407.38,429.2
East Dunbartonshire,300.36,473.73,531.04
Fife,270.66,471.8,521.93
Forth Valley,275.63,501.0,559.31
Greater Glasgow,313.1,544.32,545.95
Highland and Islands,287.37,448.16,478.93
Lothian,319.85,528.95,594.71
North Lanarkshire,296.88,421.38,426.7
Perth and Kinross,261.86,414.89,474.14
Renfrewshire / Inverclyde,296.26,415.65,439.67
Scottish Borders,255.63,382.36,443.7
South Lanarkshire,309.07,461.51,526.2
West Dunbartonshire,288.89,436.63,520.77
West Lothian,278.75,479.86,516.72
