username,rt_count_Labour,rt_count_Conservative,rt_count_Scottish_National_Party,rt_count_Liberal_Democrat,rt_count_Plaid_Cymru,rt_count_Democratic_Unionist_Party,rt_count_Green_Party,party_value,rt_count_total,is_mp
conservatives,8,740,0,0,0,0,0,NA,748,FALSE
jeremycorbyn,703,5,4,1,0,0,0,Labour,713,TRUE
uklabour,692,0,0,0,0,0,0,NA,692,FALSE
labourpress,340,0,0,0,0,0,0,NA,340,FALSE
jonashworth,314,0,0,0,0,0,0,Labour,314,TRUE
parlyapp,126,59,92,5,4,2,1,NA,289,FALSE
borisjohnson,15,267,0,0,0,0,0,Conservative,282,TRUE
thesnp,0,2,275,0,1,0,0,NA,278,FALSE
10downingstreet,5,249,2,1,0,0,0,NA,257,FALSE
johnmcdonnellmp,247,3,0,0,0,0,0,Labour,250,TRUE
labourwhips,234,2,5,0,0,0,0,NA,241,FALSE
keir_starmer,230,3,1,1,1,0,0,Labour,236,TRUE
stewartmcdonald,6,9,202,0,0,0,0,Scottish National Party,217,TRUE
nicolasturgeon,1,2,210,0,0,0,0,NA,213,FALSE
davidlammy,195,10,6,0,1,0,0,Labour,212,TRUE
cchqpress,5,206,0,0,0,0,0,NA,211,FALSE
angelarayner,197,6,1,0,0,0,0,Labour,204,TRUE
theresa_may,5,193,0,0,0,0,0,Conservative,198,TRUE
gwynnemp,189,2,1,0,0,0,0,Labour,192,TRUE
bbcpolitics,98,46,25,5,0,1,1,NA,176,FALSE
chukaumunna,161,10,1,3,0,0,0,Labour,175,TRUE
tom_watson,166,4,2,0,0,0,0,Labour,172,TRUE
bbclaurak,104,38,18,2,2,1,0,NA,165,FALSE
jamescleverly,8,155,0,0,0,0,0,Conservative,163,TRUE
mirrorpolitics,157,3,2,0,0,0,0,NA,162,FALSE
louhaigh,143,2,1,0,0,0,0,Labour,146,TRUE
skynews,73,54,10,4,0,0,0,NA,141,FALSE
faisalislam,93,23,18,1,0,0,1,NA,136,FALSE
matthancock,1,134,0,0,0,0,0,Conservative,135,TRUE
gmb_union,131,0,1,1,0,0,0,NA,133,FALSE
wesstreeting,122,5,4,0,0,0,0,Labour,131,TRUE
channel4news,88,19,20,1,1,0,1,NA,130,FALSE
jeremy_hunt,3,124,1,0,0,0,0,Conservative,128,TRUE
jessphillips,118,6,4,0,0,0,0,Labour,128,TRUE
feorlean,1,0,125,0,0,0,0,NA,126,FALSE
