Country,Election_Year,Election_date,Polarization_votes,Polarization_seats
Austria,1945,1945-11-25,3.257332,3.018394
Austria,1949,1949-10-09,3.490593,3.277571
Austria,1953,1953-02-22,3.502395,3.215545
Austria,1956,1956-05-13,3.339067,3.050352
Austria,1959,1959-05-10,3.278765,2.916932
Austria,1962,1962-11-18,3.229071,2.910456
Austria,1966,1966-03-06,2.859217,2.872181
Austria,1970,1970-03-01,3.027841,2.893479
Austria,1971,1971-10-10,3.068636,2.944783
Austria,1975,1975-10-05,3.047456,2.944783
Austria,1979,1979-05-06,3.048869,2.958347
Austria,1983,1983-04-24,3.001566,2.969663
Austria,1986,1986-11-23,3.210034,3.145528
Austria,1990,1990-10-07,3.480359,3.48817
Austria,1994,1994-10-09,3.748233,3.764059
Austria,1995,1995-12-17,3.587079,3.624977
Austria,1999,1999-10-03,3.43283,3.505684
Austria,2002,2002-11-24,3.863914,3.871675
Austria,2006,2006-10-01,4.997955,4.9719
Austria,2008,2008-09-28,4.842644,4.96913
Austria,2013,2013-09-29,4.142074,4.053504
Austria,2017,2017-10-15,4.366304,4.212249
Austria,2019,2019-09-29,4.300457,4.266041
Belgium,1946,1946-02-17,4.116995,4.039225
Belgium,1949,1949-06-26,4.103216,3.963547
Belgium,1950,1950-06-04,3.88508,3.73922
Belgium,1954,1954-04-11,3.917782,3.80663
Belgium,1958,1958-06-01,3.765451,3.667124
Belgium,1961,1961-03-26,3.901675,3.808187
Belgium,1965,1965-05-23,4.133778,4.086792
Belgium,1968,1968-03-31,4.113622,4.030577
Belgium,1971,1971-11-07,4.058254,4.01762
Belgium,1974,1974-03-10,4.008472,3.874552
Belgium,1977,1977-04-17,3.913842,3.778815
Belgium,1978,1978-12-17,4.170804,3.929952
Belgium,1981,1981-11-08,4.293725,4.134412
Belgium,1985,1985-10-13,4.157945,3.9683
Belgium,1987,1987-12-13,4.196383,4.088599
Belgium,1991,1991-11-24,3.969465,3.749917
Belgium,1995,1995-05-21,4.245423,3.953153
Belgium,1999,1999-06-13,4.686368,4.599844
Belgium,2003,2003-05-18,4.159602,3.973447
Belgium,2007,2007-06-10,4.566054,4.218919
Belgium,2010,2010-06-13,4.925957,4.782203
Belgium,2014,2014-05-25,4.73458,4.506652
Belgium,2019,2019-05-26,5.734732,5.85705
Cyprus,1976,1976-09-05,2.898875,2.049145
Cyprus,1981,1981-05-24,4.556614,4.674978
Cyprus,1985,1985-12-08,4.371652,4.350531
Cyprus,1991,1991-05-19,4.64966,4.610942
Cyprus,1996,1996-05-26,4.753657,4.675783
Cyprus,2001,2001-05-27,4.82541,4.799451
Cyprus,2006,2006-05-21,4.775428,4.807749
Cyprus,2011,2011-05-22,4.90096,4.862944
Cyprus,2016,2016-05-22,4.634137,4.794041
Cyprus,2021,2021-05-30,3.993107,4.212455
Denmark,1945,1945-10-30,4.052371,4.028523
Denmark,1947,1947-10-28,3.53283,3.487537
Denmark,1950,1950-09-05,3.380331,3.376432
Denmark,1953,1953-04-21,3.406031,3.380388
Denmark,1953,1953-09-22,3.405428,3.391852
Denmark,1957,1957-05-14,3.272808,3.276683
Denmark,1960,1960-11-15,3.473797,3.37285
Denmark,1964,1964-09-22,3.508705,3.392816
Denmark,1966,1966-11-22,3.68519,3.615796
Denmark,1968,1968-01-23,3.611466,3.531218
Denmark,1971,1971-09-21,3.601349,3.388369
Denmark,1973,1973-12-04,4.358513,4.176273
Denmark,1975,1975-01-09,4.365745,4.338388
Denmark,1977,1977-02-15,4.388358,4.395755
Denmark,1979,1979-10-23,4.343098,4.148895
Denmark,1981,1981-12-08,4.295037,4.230699
Denmark,1984,1984-01-10,4.149745,4.094994
Denmark,1987,1987-09-08,4.326041,4.199391
Denmark,1988,1988-05-10,4.757812,4.529384
Denmark,1990,1990-12-12,4.555398,4.334047
Denmark,1994,1994-09-21,4.624592,4.63872
Denmark,1998,1998-03-11,4.176993,4.136801
Denmark,2001,2001-11-20,4.189582,4.168253
Denmark,2005,2005-02-08,3.7708,3.785155
Denmark,2007,2007-11-13,4.082069,4.059067
Denmark,2011,2011-09-15,4.14362,4.119028
Denmark,2015,2015-06-18,3.917409,3.89958
Denmark,2019,2019-06-05,3.900968,3.928084
Finland,1945,1945-03-18,3.83834,3.813053
Finland,1948,1948-07-01,3.805252,3.746022
Finland,1951,1951-07-03,3.76572,3.732964
Finland,1954,1954-03-08,3.701291,3.642032
Finland,1958,1958-07-07,3.830666,3.827576
Finland,1962,1962-02-05,3.788311,3.842869
Finland,1966,1966-03-21,3.739873,3.654517
Finland,1970,1970-03-16,3.793344,3.84796
Finland,1972,1972-01-03,3.839213,3.849486
Finland,1975,1975-09-22,3.920334,3.93733
Finland,1979,1979-03-13,4.002038,4.039168
Finland,1983,1983-03-21,3.850701,3.812677
Finland,1987,1987-03-16,3.850872,3.821993
Finland,1991,1991-03-17,3.490657,3.508379
Finland,1995,1995-03-19,3.499312,3.557889
Finland,1999,1999-03-21,3.806345,3.801537
Finland,2003,2003-03-16,3.270671,3.209053
Finland,2007,2007-03-18,3.043979,3.008701
Finland,2011,2011-04-17,3.059943,3.016391
Finland,2015,2015-04-19,3.158682,3.047049
Finland,2019,2019-04-14,4.25005,4.27985
France,1945,1945-10-21,4.807817,4.56046
France,1946,1946-06-02,4.75796,4.57158
France,1946,1946-11-10,4.944823,4.871327
France,1951,1951-06-17,5.860107,5.510004
France,1956,1956-01-02,5.351223,5.331899
France,1958,1958-11-23,5.768253,3.843429
France,1962,1962-11-18,5.946516,5.04
France,1967,1967-03-05,5.938409,5.42739
France,1968,1968-06-23,5.834888,4.240835
France,1973,1973-03-04,6.083981,5.903811
France,1978,1978-03-12,5.617558,5.499322
France,1981,1981-06-14,5.30286,4.890176
France,1986,1986-03-16,5.88322,5.436963
France,1988,1988-06-05,5.197326,3.914415
France,1993,1993-03-21,5.223654,3.272502
France,1997,1997-05-25,4.805926,3.759326
France,2002,2002-06-09,4.872121,3.279482
France,2007,2007-06-10,5.113285,4.42181
France,2012,2012-06-10,4.830885,3.723584
France,2017,2017-06-11,5.406283,3.218158
Germany,1949,1949-08-14,3.597151,3.552298
Germany,1953,1953-09-06,3.414594,3.289683
Germany,1957,1957-09-15,3.303281,3.408414
Germany,1961,1961-09-17,3.348886,3.440846
Germany,1965,1965-09-19,3.693137,3.507051
Germany,1969,1969-09-28,4.008346,3.59393
Germany,1972,1972-11-19,3.626564,3.565237
Germany,1976,1976-10-03,3.597078,3.57611
Germany,1980,1980-10-05,3.550499,3.542609
Germany,1983,1983-03-06,3.67728,3.66006
Germany,1987,1987-01-25,3.709398,3.651085
Germany,1990,1990-12-02,3.477221,3.184652
Germany,1994,1994-10-16,3.724634,3.538296
Germany,1998,1998-09-27,3.205508,2.841441
Germany,2002,2002-09-22,2.835809,2.52215
Germany,2005,2005-09-18,3.945604,3.771065
Germany,2009,2009-09-27,3.826365,3.668991
Germany,2013,2013-09-22,3.826942,3.327341
Germany,2017,2017-09-24,4.352392,4.46804
Germany,2021,2021-09-26,4.022675,4.206877
Greece,1974,1974-11-17,3.130409,1.832891
Greece,1977,1977-11-20,3.414828,2.454476
Greece,1981,1981-10-18,3.34813,2.362259
Greece,1985,1985-06-02,3.294005,2.393723
Greece,1989,1989-06-18,3.506995,3.111086
Greece,1989,1989-11-05,3.277411,2.829685
Greece,1990,1990-04-08,3.224288,2.736782
Greece,1993,1993-10-10,2.650604,2.25793
Greece,1996,1996-09-22,2.953977,2.484783
Greece,2000,2000-04-09,2.779656,2.364619
Greece,2004,2004-03-07,3.744469,3.175672
Greece,2007,2007-09-16,4.120913,3.997983
Greece,2009,2009-10-04,4.264343,3.98263
Greece,2012,2012-05-06,5.722757,5.707716
Greece,2012,2012-06-17,5.647524,5.418095
Greece,2015,2015-01-25,5.648438,5.697035
Greece,2015,2015-09-20,5.649346,5.623084
Greece,2019,2019-07-07,5.34588,5.087614
Iceland,1946,1946-06-30,3.644993,3.618836
Iceland,1949,1949-10-23,3.65106,3.530729
Iceland,1953,1953-06-28,3.510227,3.45535
Iceland,1956,1956-06-24,3.651504,3.459278
Iceland,1959,1959-06-28,3.551341,3.449189
Iceland,1959,1959-10-26,3.52017,3.571872
Iceland,1963,1963-06-09,3.572571,3.520191
Iceland,1967,1967-06-11,3.395518,3.472267
Iceland,1971,1971-06-13,3.475142,3.487481
Iceland,1974,1974-06-30,3.667114,3.666159
Iceland,1978,1978-06-25,3.565381,3.606726
Iceland,1979,1979-12-03,3.557658,3.510036
Iceland,1983,1983-04-23,3.729054,3.697387
Iceland,1987,1987-04-25,3.78224,3.74423
Iceland,1991,1991-04-20,3.783428,3.773983
Iceland,1995,1995-04-08,3.576788,3.637563
Iceland,1999,1999-05-08,3.680251,3.69432
Iceland,2003,2003-05-10,3.635231,3.619187
Iceland,2007,2007-05-12,4.63217,4.678076
Iceland,2009,2009-04-25,4.310303,4.362788
Iceland,2013,2013-04-27,3.793205,3.904402
Iceland,2016,2016-10-29,4.090434,4.25151
Iceland,2017,2017-10-28,4.180539,4.193783
Iceland,2021,2021-09-25,3.888476,3.920736
Ireland,1948,1948-02-04,1.805638,1.918071
Ireland,1951,1951-05-30,1.851781,1.825523
Ireland,1954,1954-04-18,1.948211,1.990504
Ireland,1957,1957-03-05,2.580713,2.159259
Ireland,1961,1961-10-04,1.967771,1.959859
Ireland,1965,1965-04-07,2.141032,2.12883
Ireland,1969,1969-06-18,2.225818,1.9707
Ireland,1973,1973-02-28,2.233677,2.026917
Ireland,1977,1977-06-16,2.196851,1.879563
Ireland,1981,1981-06-11,2.504003,2.099247
Ireland,1982,1982-02-18,2.349823,2.094949
Ireland,1982,1982-11-24,2.396547,2.037355
Ireland,1987,1987-02-17,2.941173,2.372141
Ireland,1989,1989-06-15,3.028153,2.642004
Ireland,1992,1992-11-25,2.9978,2.821976
Ireland,1997,1997-06-06,2.841901,2.425379
Ireland,2002,2002-05-17,2.623482,2.514718
Ireland,2007,2007-05-24,2.962357,2.322994
Ireland,2011,2011-02-25,3.882115,3.861516
Ireland,2016,2016-02-26,3.572132,3.539311
Ireland,2020,2020-02-08,2.891415,2.912593
Italy,1946,1946-06-02,3.431978,3.466493
Italy,1948,1948-04-18,3.42053,3.283736
Italy,1953,1953-06-07,4.614323,4.553163
Italy,1958,1958-05-25,4.323546,4.21138
Italy,1963,1963-04-28,4.172628,4.070199
Italy,1968,1968-05-19,4.096855,4.015154
Italy,1972,1972-05-07,4.404789,4.431525
Italy,1976,1976-06-20,4.367893,4.323573
Italy,1979,1979-06-03,4.316941,4.161787
Italy,1983,1983-06-26,4.352551,4.36104
Italy,1987,1987-06-14,4.285859,4.204859
Italy,1992,1992-04-05,4.637094,4.659604
Italy,1994,1994-03-27,5.229928,5.381863
Italy,1996,1996-04-21,4.57907,4.366725
Italy,2001,2001-05-13,3.818638,3.788989
Italy,2006,2006-04-09,4.576245,4.542871
Italy,2008,2008-04-13,4.647616,4.259224
Italy,2013,2013-02-25,3.523527,3.198797
Italy,2018,2018-03-04,4.505818,4.263192
Luxembourg,1945,1945-10-21,3.932595,3.643974
Luxembourg,1948,1948-06-06,4.064471,3.600241
